INFO:2026-01-21 13:55:50,951: Epoch [1/500], Step [100/35359], Mel Loss: 1.06316, Gen Loss: 29.47236, Disc Loss: 1.38837, Mono Loss: 0.05150, S2S Loss: 2.30803, SLM Loss: 2.82165
INFO:2026-01-21 13:56:35,890: Epoch [1/500], Step [200/35359], Mel Loss: 0.95028, Gen Loss: 32.01584, Disc Loss: 1.29752, Mono Loss: 0.06031, S2S Loss: 2.66147, SLM Loss: 2.71403
INFO:2026-01-21 13:57:19,921: Epoch [1/500], Step [300/35359], Mel Loss: 0.92878, Gen Loss: 32.00010, Disc Loss: 1.26264, Mono Loss: 0.01760, S2S Loss: 2.24631, SLM Loss: 2.88376
INFO:2026-01-21 13:58:03,459: Epoch [1/500], Step [400/35359], Mel Loss: 0.90825, Gen Loss: 32.33185, Disc Loss: 1.22874, Mono Loss: 0.05681, S2S Loss: 1.95034, SLM Loss: 2.76665
INFO:2026-01-21 13:58:47,088: Epoch [1/500], Step [500/35359], Mel Loss: 0.88297, Gen Loss: 32.69921, Disc Loss: 1.20659, Mono Loss: 0.03406, S2S Loss: 1.45280, SLM Loss: 2.78379
INFO:2026-01-21 13:59:30,877: Epoch [1/500], Step [600/35359], Mel Loss: 0.86590, Gen Loss: 32.55527, Disc Loss: 1.25154, Mono Loss: 0.02057, S2S Loss: 2.92685, SLM Loss: 2.64943
INFO:2026-01-21 14:00:14,232: Epoch [1/500], Step [700/35359], Mel Loss: 0.86201, Gen Loss: 32.91128, Disc Loss: 1.17524, Mono Loss: 0.02580, S2S Loss: 1.63220, SLM Loss: 2.85122
INFO:2026-01-21 14:00:57,898: Epoch [1/500], Step [800/35359], Mel Loss: 0.82961, Gen Loss: 32.83238, Disc Loss: 1.24432, Mono Loss: 0.09419, S2S Loss: 2.35994, SLM Loss: 2.75327
INFO:2026-01-21 14:01:41,901: Epoch [1/500], Step [900/35359], Mel Loss: 0.81427, Gen Loss: 31.73748, Disc Loss: 1.17740, Mono Loss: 0.07475, S2S Loss: 3.21099, SLM Loss: 2.72312
INFO:2026-01-21 14:02:25,901: Epoch [1/500], Step [1000/35359], Mel Loss: 0.78269, Gen Loss: 31.89929, Disc Loss: 1.20042, Mono Loss: 0.01859, S2S Loss: 1.91974, SLM Loss: 2.77958
INFO:2026-01-21 14:03:09,909: Epoch [1/500], Step [1100/35359], Mel Loss: 0.76519, Gen Loss: 30.61837, Disc Loss: 1.23790, Mono Loss: 0.05161, S2S Loss: 2.64972, SLM Loss: 2.58649
